id;name;groupId;roleId;email;password
1;Borbás Ferenc;3;2;borbas.ferenc@gmail.com;diak
2;Sima Dezső;3;2;sima.dezso@gmail.com;diak
3;Lajos Lajos;3;2;lajos.lajos@gmail.com;diak
4;Lant János;4;2;lant.janos@gmail.com;diak
5;Fogó Róbert;3;2;fogo.robert@gmail.com;diak
6;Pisty Mihály;4;2;pisty.mihaly@gmail.com;diak
7;Déri Béla;3;2;deri.bela@gmail.com;diak
8;Nikk Gábor;4;2;nikk.gabor@gmail.com;diak
9;Budai Tamás;4;2;budai.tamas@gmail.com;diak
10;Bog Aladár;4;2;bog.aladar@gmail.com;diak
11;Bálint Gábor;3;2;balint.gabor@gmail.com;diak
12;Fekete Zsolt;4;2;fekete.zsolt@gmail.com;diak
13;Kisó Ábel;2;2;kiso.abel@gmail.com;diak
14;Hámori Frigyes;2;2;hamori.frigyes@gmail.com;diak
15;Kosztolányi András;3;2;kosztolanyi.andras@gmail.com;diak
16;Sebes Vilmos;3;2;sebes.vilmos@gmail.com;diak
17;Pölös Ágost;4;2;polos.agost@gmail.com;diak
18;Szűcs Lóránt;4;2;szucs.lorant@gmail.com;diak
19;Weisz Richárd;3;2;weisz.richard@gmail.com;diak
20;Tóth Zoltán;2;2;toth.zoltan@gmail.com;diak
21;Pók Béla;4;2;pok.bela@gmail.com;diak
22;Stabb Ottó;1;2;stabb.otto@gmail.com;diak
23;Füst Szabolcs;4;2;fust.szabolcs@gmail.com;diak
24;Budai Ferenc;1;2;budai.ferenc@gmail.com;diak
25;Szósz György;1;2;szosz.gyorgy@gmail.com;diak
26;Fenyves Attila;4;2;fenyves.attila@gmail.com;diak
27;Ilkei Béla;3;2;ilkei.bela@gmail.com;diak
28;Eszes Győző;4;2;eszes.gyozo@gmail.com;diak
29;Izsó Gusztáv;4;2;izso.gusztav@gmail.com;diak
30;Mind Ákos;1;2;mind.akos@gmail.com;diak
31;Davidov Szurázs;4;2;davidov.szurazs@gmail.com;diak
32;Kovács István;4;2;kovacs.istvan@gmail.com;diak
